"------------------------------------------------------------------",""
"Next steps: what is the experience of students from a care background in education?",""
"Supporting data table",""
"------------------------------------------------------------------",""
"Group variables: Response",""
"Statistics: Proportion of respondents",""
"Audience: 2022 applicants who shared that they were care-experienced in their UCAS application and were below the age of 25    Domicile: UK",""
"Coverage: All survey respondents who agreed that the care experienced description applied to them",""
"Survey responses are weighted to represent the entire sample population.",""
"Percentages are rounded to the nearest whole number.",""
"------------------------------------------------------------------",""
"Question asked:",""
"How did you feel about sharing your care experience in the UCAS application?",""
"------------------------------------------------------------------",""
"------------------------------------------------------------------",""
"Response","Proportion of respondents"
"Very comfortable","25%"
"Comfortable","32%"
"Neutral","34%"
"Uncomfortable","8%"
"Very uncomfortable","1%"
